home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bella Vista,Defensor Sporting,1932-03-05,1.0,2.0,F,uruguay,Bella Vista (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,River Plate,1932-03-05,1.0,1.0,F,uruguay,CA Penarol (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Racing Club,1932-03-05,3.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Rampla Juniors Futbol Club,1932-03-05,1.0,0.0,F,uruguay,Central Espanol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Institucion Atletica Sud America,1932-03-05,2.0,0.0,F,uruguay,Nacional (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1932-03-12,3.0,3.0,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Racing Club,1932-03-12,6.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Institucion Atletica Sud America,1932-03-12,4.0,0.0,F,uruguay,CA Penarol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Bella Vista,1932-03-12,3.0,1.0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Central Espanol,1932-03-12,1.0,1.0,F,uruguay,Montevideo Wanderers (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Nacional,1932-03-19,3.0,0.0,F,uruguay,Racing Club (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Institucion Atletica Sud America,1932-03-19,2.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Rampla Juniors Futbol Club,1932-03-19,2.0,2.0,F,uruguay,Defensor Sporting (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Central Espanol,1932-03-19,2.0,1.0,F,uruguay,CA Penarol (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Bella Vista,1932-03-19,3.0,1.0,F,uruguay,River Plate (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Rampla Juniors Futbol Club,1932-03-26,1.0,1.0,F,uruguay,CA Penarol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Racing Club,1932-03-26,2.0,1.0,F,uruguay,Bella Vista (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Institucion Atletica Sud America,1932-03-26,1.0,0.0,F,uruguay,Central Espanol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,River Plate,1932-03-26,3.0,0.0,F,uruguay,Defensor Sporting (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Montevideo Wanderers,1932-03-26,3.0,1.0,F,uruguay,Nacional (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Central Espanol,1932-04-02,4.0,2.0,F,uruguay,Nacional (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Bella Vista,1932-04-02,2.0,0.0,F,uruguay,CA Penarol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-04-02,7.0,0.0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
